danceability,speechiness,acousticness
0.573,0.054,0.018
0.352,0.0747,0.00121
0.515,0.0372,0.0097
0.486,0.0287,0.0954
0.663,0.032,0.43
0.828,0.0276,0.0644
0.647,0.0593,0.0655
0.543,0.0428,0.358
0.504,0.179,0.356
0.671,0.0323,0.257
0.557,0.0243,0.731
0.765,0.0514,0.287
0.572,0.0308,0.371
0.579,0.027,0.00574
0.818,0.177,0.00836
0.692,0.0317,0.225
0.712,0.0378,0.0525
0.595,0.0295,0.0779
0.727,0.0664,0.103
0.526,0.0283,0.023
0.629,0.0546,0.719
0.565,0.0292,0.161
0.596,0.0255,0.181
0.701,0.0455,0.0755
0.651,0.0281,0.228
0.356,0.0479,0.0335
0.769,0.0312,0.684
0.717,0.0276,0.0846
0.73,0.0298,0.138
0.916,0.1,0.36
0.403,0.0373,0.134
0.396,0.0275,0.941
0.724,0.0423,0.0405
0.631,0.0354,0.0436
0.703,0.0417,0.559
0.671,0.0316,0.00492
0.675,0.0319,0.0204
0.602,0.302,0.393
0.656,0.0293,0.872
0.932,0.0541,0.0173
0.65,0.0393,0.57
0.713,0.102,0.273
0.566,0.0464,0.634
0.271,0.0351,0.729
0.628,0.0323,0.259
0.578,0.0363,0.183
0.453,0.0259,0.0794
0.575,0.034,0.0647
0.731,0.0473,0.172
0.332,0.0349,0.845
0.526,0.0905,0.0144
0.339,0.0308,0.396
0.274,0.0293,0.547
0.592,0.0352,0.478
0.693,0.0428,0.0782
0.66,0.0299,0.168
0.479,0.0688,0.365
0.864,0.037,0.591
0.606,0.0497,0.713
0.663,0.0414,0.644
0.725,0.0427,0.3
0.625,0.0463,0.512
0.63,0.0472,0.299
0.564,0.0461,0.00125
0.685,0.0276,0.288
0.879,0.037,0.412
0.504,0.0321,0.868
0.444,0.0307,0.959
0.545,0.0461,0.632
0.48,0.0329,0.931
0.711,0.037,0.313
0.334,0.0643,0.877
0.547,0.0252,0.907
0.745,0.0276,0.851
0.525,0.0301,0.837
0.67,0.031,0.753
0.436,0.0247,0.473
0.575,0.109,0.683
0.581,0.105,0.229
0.592,0.0568,0.845
0.847,0.0507,0.411
0.663,0.0448,0.928
0.45,0.0353,0.493
0.816,0.0996,0.607
0.532,0.0717,0.982
0.653,0.0392,0.867
0.334,0.0284,0.558
0.38,0.0509,0.914
0.401,0.033,0.45
0.34,0.0265,0.245
0.765,0.0381,0.715
0.637,0.0349,0.911
0.506,0.0292,0.494
0.533,0.0372,0.873
0.56,0.0313,0.505
0.441,0.0347,0.879
0.409,0.0389,0.922
0.588,0.0329,0.863
0.748,0.034,0.901
0.323,0.0308,0.927
0.637,0.0382,0.732
0.805,0.0363,0.755
0.434,0.0425,0.781
0.386,0.0436,0.885
0.65,0.0346,0.00137
0.551,0.0294,0.00749
0.777,0.0267,0.584
0.805,0.0463,0.792
0.285,0.032,0.932
0.656,0.0381,0.665
0.457,0.0317,0.988
0.566,0.0278,0.0945
0.506,0.03,0.243
0.243,0.0353,0.309
0.532,0.0466,0.94
0.458,0.0376,0.948
0.638,0.0351,0.367
0.43,0.0283,0.192
0.528,0.0281,0.796
0.62,0.0558,0.875
0.513,0.0339,0.22
0.624,0.0947,0.521
0.599,0.0458,0.975
0.647,0.0276,0.28
0.736,0.0267,0.844
0.769,0.0326,0.733
0.563,0.0267,0.513
0.285,0.0288,0.756
0.62,0.144,0.794
0.59,0.0675,0.894
0.6,0.0402,0.923
0.666,0.0354,0.686
0.619,0.0404,0.408
0.747,0.246,0.68
0.667,0.318,0.61
0.634,0.0285,0.592
0.4,0.0344,0.906
0.547,0.052,0.948
0.519,0.035,0.688
0.415,0.0352,0.00501
0.45,0.04,0.934
0.849,0.0565,0.259
0.646,0.0283,0.844
0.354,0.0269,0.514
0.353,0.045,0.661
0.412,0.0351,0.789
0.467,0.0314,0.775
0.71,0.0341,0.331
0.449,0.0408,0.985
0.604,0.0315,0.892
0.261,0.0321,0.917
0.672,0.0417,0.307
0.517,0.03,0.922
0.584,0.0352,0.576
0.402,0.0366,0.873
0.258,0.0304,0.811
0.237,0.0371,0.934
0.634,0.0403,0.564
0.585,0.222,0.169
0.669,0.0625,0.895
0.825,0.0507,0.439
0.579,0.0284,0.962
0.71,0.0352,0.0136
0.295,0.0408,0.978
0.652,0.0781,0.885
0.37,0.0273,0.0205
0.697,0.042,0.703
0.414,0.0318,0.883
0.739,0.0362,0.167
0.654,0.0535,0.686
0.692,0.0333,0.0811
0.526,0.031,0.941
0.738,0.0402,0.0266
0.51,0.0361,0.177
0.423,0.0264,0.0863
0.324,0.0318,0.931
0.436,0.0308,0.902
0.31,0.0275,0.761
0.681,0.0278,0.263
0.868,0.0536,0.308
0.596,0.0349,0.896
0.473,0.0288,0.721
0.556,0.0289,0.797
0.33,0.0279,0.265
0.383,0.0302,0.817
0.589,0.0325,0.977
0.509,0.0377,0.946
0.605,0.0264,0.751
0.61,0.204,0.781
0.765,0.0265,0.22
0.74,0.0399,0.551
0.561,0.0313,0.921
0.41,0.504,0.127
0.34,0.0279,0.679
0.351,0.0327,0.494
0.425,0.0321,0.968
0.51,0.0389,0.987
0.506,0.0258,0.736
0.495,0.0328,0.864
0.543,0.0307,0.95
0.565,0.0318,0.762
0.71,0.049,0.217
0.694,0.0486,0.34
0.729,0.0349,0.589
0.59,0.0516,0.978
0.306,0.0331,0.807
0.664,0.0357,0.909
0.512,0.0338,0.851
0.393,0.0404,0.963
0.62,0.0344,0.976
0.561,0.0239,0.249
0.39,0.0376,0.082
0.558,0.0316,0.68
0.586,0.0507,0.927
0.524,0.032,0.702
0.487,0.0327,0.952
0.612,0.026,0.888
0.479,0.0312,0.778
0.721,0.0681,0.158
0.562,0.0269,0.158
0.876,0.0429,0.602
0.479,0.0476,0.934
0.684,0.0752,0.805
0.481,0.0282,0.734
0.674,0.0256,0.811
0.371,0.0353,0.851
0.504,0.0292,0.789
0.656,0.0414,0.757
0.744,0.029,0.5
0.459,0.0306,0.828
0.664,0.143,0.794
0.672,0.0342,0.889
0.474,0.0578,0.887
0.515,0.0278,0.0922
0.554,0.243,0.221
0.535,0.0281,0.815
0.495,0.0333,0.819
0.293,0.038,0.0166
0.567,0.0399,0.75
0.508,0.0297,0.229
0.593,0.0279,0.698
0.649,0.0338,0.92
0.505,0.03,0.875
0.843,0.123,0.792
0.726,0.0277,0.498
0.88,0.267,0.424
0.571,0.0786,0.684
0.6,0.0244,0.31
0.508,0.0481,0.0957
0.677,0.0888,0.403
0.741,0.0303,0.831
0.671,0.0557,0.773
0.506,0.0307,0.835
0.527,0.0397,0.169
0.742,0.0404,0.221
0.595,0.0386,0.129
0.737,0.0382,0.766
0.666,0.0262,0.174
0.472,0.0356,0.429
0.579,0.0274,0.709
0.518,0.0362,0.712
0.781,0.191,0.279
0.782,0.048,0.685
0.7,0.0247,0.306
0.815,0.042,0.0874
0.532,0.0331,0.538
0.523,0.0362,0.623
0.71,0.0399,0.0514
0.698,0.0305,0.588
0.578,0.0877,0.536
0.62,0.0398,0.402
0.547,0.0371,0.906
0.509,0.0402,0.0941
0.604,0.0832,0.526
0.646,0.0722,0.256
0.562,0.0802,0.877
0.477,0.0545,0.306
0.649,0.0339,0.381
0.775,0.0359,0.516
0.716,0.0285,0.8
0.342,0.0322,0.838
0.429,0.0459,0.554
0.673,0.0368,0.858
0.829,0.0635,0.208
0.579,0.058,0.257
0.702,0.026,0.163
0.585,0.0269,0.374
0.829,0.0668,0.726
0.802,0.192,0.467
0.663,0.0327,0.026
0.771,0.073,0.206
0.786,0.0289,0.276
0.883,0.0443,0.0207
0.573,0.079,0.237
0.878,0.0635,0.22
0.773,0.0311,0.752
0.702,0.0526,0.354
0.64,0.563,0.288
0.732,0.0308,0.00357
0.723,0.0688,0.0321
0.862,0.0574,0.319
0.593,0.236,0.00769
0.638,0.0493,0.00966
0.73,0.0391,0.463
0.635,0.0488,0.00656
0.955,0.0612,0.00735
0.854,0.0548,0.0356
0.602,0.0413,0.0921
0.565,0.206,0.0376
0.782,0.043,0.281
0.546,0.0347,0.0737
0.816,0.0578,0.17
0.806,0.0484,0.0291
0.633,0.046,0.0159
0.768,0.0534,0.0127
0.734,0.0869,0.0196
0.661,0.0703,0.0932
0.739,0.0353,0.015
0.72,0.0976,0.0672
0.725,0.0439,0.375
0.707,0.112,0.17
0.739,0.0536,0.0741
0.643,0.0386,0.235
0.724,0.0601,0.0114
0.718,0.0309,0.149
0.661,0.0469,0.0764
0.768,0.0381,0.35
0.658,0.0313,0.0407
0.582,0.0541,0.0389
0.857,0.0388,0.015
0.788,0.0534,0.00812
0.826,0.0694,0.272
0.781,0.21,0.15
0.815,0.0863,0.156
0.703,0.149,0.0484
0.636,0.0964,0.00793
0.81,0.0457,0.0108
0.707,0.0304,0.311
0.691,0.0324,0.022
0.759,0.12,0.231
0.807,0.0433,0.041
0.746,0.0444,0.0678
0.816,0.0573,0.209
0.658,0.0356,0.0032
0.678,0.0391,0.00967
0.578,0.0414,0.00108
0.702,0.092,0.719
0.705,0.0408,0.167
0.692,0.0352,0.0531
0.585,0.0384,0.111
0.708,0.0391,0.314
0.771,0.0317,0.00209
0.659,0.0318,0.116
0.721,0.0376,0.223
0.741,0.0319,0.167
0.561,0.0326,0.136
0.721,0.0728,0.299
0.641,0.0355,0.404
0.629,0.0584,0.0878
0.577,0.0293,0.0333
0.75,0.0307,0.517
0.575,0.0315,0.153
0.636,0.0979,0.0765
0.698,0.0399,0.676
0.777,0.0364,0.0145
0.632,0.0344,0.00242
0.717,0.0556,0.153
